Tweet,Target 1,Stance 1,set
"Therefore , abortion is killing a life which is human by nature .",abortion,AGAINST,train
"Nazi ’s tortured , raped , experimented on , and more despicable thing i cant mention to their captures .",abortion,NONE,train
"Because you engaged in an act that you knew could create a helpless human being , and now that human being stands in need of your assistance .",abortion,AGAINST,train
"“ The abortion compromise was supposed to curb the number of illegal terminations and increase the number of births in Poland , ” Ms. Nowacka said .",abortion,NONE,train
"A devout Catholic , she knew she could never have an abortion .",abortion,NONE,train
We mourn with men who were n’t given a choice or who contributed to an abortion that they now regret .,abortion,AGAINST,train
If abortion is illegal than making a kid grow up without both parents should be too .,abortion,FAVOR,train
"After the first 10 years of FFL ’s College Outreach Program , Planned Parenthood reported a 30 percent drop in abortions among college-educated women .",abortion,NONE,train
"If you ’re justifying abortion by arguing that women have the right to abort just like you have the right to unplug from a violinist , then you ca n’t make exceptions .",abortion,AGAINST,train
I think that ’s probably pretty likely .,abortion,NONE,train
"By legalizing abortion , we take those rights away from a future American citizen .",abortion,AGAINST,train
"Keith L. Moore and T.V.N. Persaud , The Developing Human : Clinically Oriented Embryology ( Philadelphia : W.B. Saunders Company , 1998 ) p. 2 .",abortion,NONE,train
They found [ http://www.aaplog.org/position-and-papers/partial-birth-abortion/aaplog-statement-on-the-association-of-induced-abortion-and-the-subsequent-development-of-breast-cancer/] that a woman ’s risk of developing breast cancer was 50 % higher if she had had an abortion .,abortion,AGAINST,train
The issues are explained here far better than I can explain them .,abortion,NONE,train
"Forty-two years after the Roe v. Wade decision legalizing abortion , many within the pro-life movement focus on the undeniable humanity of each unborn child , clearly visible through the millions of sonograms obtained by proud parents each year .",abortion,AGAINST,train
I ’m not saying to scream at them that they ’re extremists .,abortion,NONE,train
The neuroanatomical apparatus required for pain and sensation is not complete until about 26 weeks into pregnancy .,abortion,FAVOR,train
"If nothing else , Kaine is well-practiced in abortion politics .",abortion,NONE,train
"The site features over 200 expert sources from Presidential hopefuls Rudy Giuliani and Hillary Clinton to Ann Landers , Heidi Fleiss , Susan B. Anthony , and the ACLU .",abortion,NONE,train
"This is reflected in the Royal College of Obstetricians and Gynaecologists ’s report on foetal pain , which concludes “ ... existing data suggests that cortical processing and therefore foetal perception of pain can not occur before 24 weeks of gestation ” .",abortion,FAVOR,train
These questions get to the heart of the abortion debate .,abortion,NONE,train
Other colleges have also expanded their support for student parents .,abortion,NONE,train
This could be the difference between intentional murder or misguided homicide .,abortion,NONE,train
"Sex equality arguments observe that abortion restrictions deprive women of control over the timing of motherhood and so predictably exacerbate the inequalities in educational , economic , and political life engen­dered by childbearing and childrearing .",abortion,FAVOR,train
"I simply disagree with your view of purpose in human organs , but I recognize this is a theological division here .",abortion,NONE,train
I ca n't see a good scientific reason why I ca n't hold that this criteria is fulfilled at conception .,abortion,AGAINST,train
Twenty-eight percent of respondents said abortion was a critical issue .,abortion,NONE,train
"Whether or not Post-Abortion Syndrome is a real or imagined condition , there is no denying the fact that abortion has left countless women with feelings of profound regret .",abortion,AGAINST,train
"They also add that if abortion was illegal , the procedure would be performed , regardless – the only difference being that it would be performed under dangerous , substandard conditions .",abortion,FAVOR,train
"If you are going to legally prohibit a woman from aborting on the theory that an unborn child has rights , what are you going to do to guarantee the rights of the unborn to develop in a safe and healthy environment ?",abortion,FAVOR,train
I had a sister that was aborted and my mother regrets it every day .,abortion,AGAINST,train
"There are different viewpoints on how to define direct and indirect in reference to abortion , and the matter depends on technical definitions of intention and action .",abortion,NONE,train
"We forced abortion clinics to abide by basic health and safety standards for women . """,abortion,NONE,train
"At this point , some may object that your comparisons are not fair — that killing a fetus is morally different than killing a toddler .",abortion,NONE,train
No person actually imagines that a zygote is a person .,abortion,NONE,train
But I actually think that leaves them better off .,abortion,NONE,train
Which were the women ?,abortion,NONE,train
Would you take a moment to sign our poll ?,abortion,NONE,train
"Victoria Woodhull , the first woman to run for president ( in 1872 ) , concurred .",abortion,NONE,train
"The right to choose is paramount to our humanity , and it should n’t be denied .",abortion,FAVOR,train
"And went to him , and bound up his wounds , pouring in oil and wine , and set him on his own beast , and brought him to an inn , and took care of him .",abortion,NONE,train
"Likewise , throughout all of human history , fertility and pregnancy were considered ordinary events , and anyone reading this page was involved in such an event .",abortion,NONE,train
"If we expect men to be responsible for children they create ( intentionally or unintentionally ) through intercourse , then should n’t women be held responsible for the children they create through intercourse as well ?",abortion,AGAINST,train
Just go to http://www.logos.com/carm .,abortion,NONE,train
The fact is that directly attacking and killing the baby is a direct abortion even if the intentions are good .,abortion,AGAINST,train
The Centers for Disease Control said the risk of dying from childbirth is 13 times that for abortion .,abortion,FAVOR,train
"And with today ’s facts in hand , the pugilistic culture warrior Scalia would have been incomparable .",abortion,NONE,train
Have you ever seen a picture of a 20-week abortion ?,abortion,AGAINST,train
"Although there are some non-religious people in the right-to-life movement , it is almost exclusively a Christian movement .",abortion,NONE,train
Keller says Kermit Gosnell .,abortion,NONE,train
I think most people refuse to think or argue about abortion because they see that the only way to remain pro-choice is to abort their reason first .,abortion,NONE,train
I doubt there are many readers of this magazine who are pro-choice .,abortion,NONE,train
Therapeutic abortion supplements spontaneous abortion when the natural “ abortion mill ” in a woman ’s uterus fails to identify and expel an ill-conceived pregnancy .,abortion,FAVOR,train
I wish I knew a way to share this without ruffling their feathers .,abortion,NONE,train
Would we have loved and cared for a baby born blind or a child who got injured along the way ?,abortion,AGAINST,train
"“ To quote Mother Teresa – If a mother can kill her own child , what is left for me to kill you and you to kill me ?",abortion,AGAINST,train
"You must be a bad mom , and your kids would think differently of you if they knew about your abortion .",abortion,AGAINST,train
The opinion of the Court in Planned Parenthood of Southeastern Pennsylvania v. Casey 11 is shaped to a sub­stantial degree by equality values .,abortion,NONE,train
Organisers used social media to launch the country-wide action -- one of the largest-ever pro-choice events in Poland -- urging women to stay away from work and school to attend street protests .,abortion,NONE,train
"To be pro-choice , you must deny at least one of them , because taken together they logically entail the pro-life conclusion .",abortion,NONE,train
"More and more see human handprints all over it , especially in its demeaning passages about women .",abortion,NONE,train
"Jane : Yeah , I think both at the same time .",abortion,NONE,train
"According to 1982 polls , there is no difference in the attitudes of blacks and whites toward legal abortion .",abortion,NONE,train
"I personally do n’t agree with it , but this is something Coloradoans have to decide for themselves .",abortion,NONE,train
You deliberately kill an innocent human being .,abortion,AGAINST,train
"Start at the beginning , or peruse the titles and page summaries to find something specific .",abortion,NONE,train
Women should not have to undergo unnecessary medication .,abortion,FAVOR,train
Q : But would you shut down the government over this dispute ?,abortion,NONE,train
"For human nature does n't change , but human wills do .",abortion,NONE,train
We refuse to choose between women and children .,abortion,NONE,train
"That would be , literally , "" might makes right . """,abortion,NONE,train
"He reasoned that if a woman wanted to be educated like a man , hired like a man and promoted like a man , women should not expect their employers to accommodate pregnancy .",abortion,FAVOR,train
"The law has its place , in ancient times ( Matt .",abortion,NONE,train
"By failing to freely provide this , society also fails to support their fundamental rights , not as women , but as people .",abortion,FAVOR,train
Significant risk factors ( like breast cancer ) have been associated with abortion .,abortion,AGAINST,train
Does your value change when you cross the street or roll over in bed ?,abortion,NONE,train
"However , even Poland ’s main opposition party , the Civic Platform , has opposed liberalising the abortion law .",abortion,NONE,train
"20 Writing for the Court in that case , Justice Ginsburg declared that laws differentiating between the sexes require close judicial scrutiny , but al­lowed government to acknowledge sex differences on the condition that sex clas­sifications “ not be used , as they once were , to create or perpetuate the legal , social , and economic inferiority of women . ”",abortion,NONE,train
( comments ) Look around you .,abortion,NONE,train
"There are many high-profile groups that champion either pro-choice or pro-life , and such organizations bring up a host of issues to further their often political agenda .",abortion,NONE,train
But they ’re consistent with the overall trend .,abortion,NONE,train
"The example you cite , inducing labor to remove the placenta with the foreseen yet unintended consequence of causing the child 's death , was what WOULD have been morally acceptable ; however , that was NOT done ( see here ) .",abortion,NONE,train
"If this temptation is understood , those who are labeled "" pro-choice "" and "" anti-abortion "" will find themselves working together in the field hospital and promoting the actions so passionately described in this article .",abortion,NONE,train
"“ Where in the record will I find evidence of women who had complications , who could not get to a hospital , even though there was a working transfer arrangement … because the doctor himself has to have admitting privileges ?",abortion,NONE,train
"The American automotive industry is under considerable distress , and various proposals have been put forth to provide aid to those in need .",abortion,NONE,train
None of the justices seemed impressed with that answer .,abortion,NONE,train
Result : The woman will experience symptoms rather like a heavy and painful period .,abortion,NONE,train
"When critics say that birth makes the unborn human , ask , “ How does a mere change of location from inside the womb to outside the womb change the essential nature of the unborn ? ”",abortion,AGAINST,train
As soon as you start to cut up that baby he feels the most ultimate pain that he will ever experience .,abortion,AGAINST,train
Will it have the power to force sterilization ?,abortion,NONE,train
Those that do not have the economic capability or the desire to see a pregnancy to its full term and raise a child will continue to seek illegal abortions long after it has been made illegal .,abortion,FAVOR,train
Even imperfect human being have the right to live .,abortion,AGAINST,train
"Why should such victims go through the ordeal of bearing a child , which is a product of some unfortunate incident of their life ?",abortion,FAVOR,train
Children 's parents make these decisions for them .,abortion,NONE,train
"The church , which continues to be a powerful influence in this predominantly Catholic country , is often accused of exerting pressure on politicians .",abortion,NONE,train
Abortion is not an act of “ failing to save ” but is an act of killing that deprives a child of its right to live safely .,abortion,AGAINST,train
"Knowing that you were unwanted and unloved by the very mother that brought you into this world is a harsh reality to live in , and a mother out of compassion would not want to have that put upon a child .",abortion,FAVOR,train
"Jane : Yeah , I guess so .",abortion,NONE,train
I honestly do n't care if I die in child birth because I know my family will raise that child or my husband will raise him/her and tell them how much their mother loves them and wishes she could be here with them .,abortion,AGAINST,train
Opponents argue that altering the traditional definition of marriage as between a man and a woman will further weaken a threatened institution .,abortion,NONE,train
"The FDA , IRS , and the World Health Organization have stated obesity is a disease while other government and medical entities , such as the House of Representatives , the Centers for Medicare and Medicaid Services , and the American College of Physicians , have not .",abortion,NONE,train
The issue essentially being what rights under law should a foetus have .,abortion,NONE,train
Where do pro-abortionists get the idea that abortion is a constitutional right ?,abortion,AGAINST,train
"Infanticide was practiced regularly on every continent by our ancestors who had no other means to control their fertility , but where people have access to modern contraceptives and abortion , infanticide becomes exceedingly rare .",abortion,FAVOR,train
There are too many late ( after 12 weeks ) abortions .,abortion,AGAINST,train
Making a full argument requires detailed definitions of intention and action which I am not well informed enough to do justice to .,abortion,NONE,train
Equally important was legislation [ in March 2005 ] mandating parents be informed and provide consent before the serious surgical procedure of an abortion could be performed on a minor .,abortion,NONE,train
This is something that is not a high priority of ours as to whether or not we go down the road on this issue .,abortion,NONE,train
"Example : “ . . . once a father or a mother who are seeking an abortion see an ultrasound , it ’s true that upwards of 90 percent of them decide not to have an abortion . ”",abortion,AGAINST,train
"THEN , suddenly , I got it .",abortion,NONE,train
an induced abortion is deliberate .,abortion,NONE,train
"Women also want to live in a society that , at the very same time , cherishes our shared , and indeed , wondrous capacity to bear new human life .",abortion,AGAINST,train
"I think it 's not that simple because there is a distinction between the "" object "" ( "" proximate "" intent ) and the "" final "" intent of the individual actions which make up a medical procedure .",abortion,NONE,train
Justice Clarence Thomas extended his new questionless streak to two days .,abortion,NONE,train
"Even here , however , the answer gets a little dicey : which benchmark is the most important to use ?",abortion,NONE,train
"In the overall sample , 34 percent said abortion should be generally available , while 21 percent said abortion should n’t be permitted .",abortion,NONE,train
"“ You can not change the world from your couch , you know . ”",abortion,NONE,train
"Couple this with the abortion industry 's consistent opposition to measures requiring more full patient disclosure , and there is good reason to wonder if they care more about profits than they do about women .",abortion,AGAINST,train
"No person , regardless of gender , should be denied the right to fight for his or her own life .",abortion,AGAINST,train
"Granting the notion that our bodies are our own property , does it follow that a pregnant women can choose to kill her fetuses because the fetus is also her own property ?",abortion,FAVOR,train
"The Polish Bishops ' Conference asked Catholics to pray for "" the conscience and the light of the Holy Spirit on all Poles who protect human life from conception to natural death "" .",abortion,AGAINST,train
Sleep quality and depression-anxiety in mothers of chidren with two chronic respiratory diseases : asthma and cystic fibrosis .,abortion,NONE,train
How would you feel if she had rolled over in the opposite direction after sex on that key night in history and a different sperm got to the egg first ?,abortion,NONE,train
"Yet what earlier feminists called a “ disgusting and degrading crime ” was , in the 1970s , lauded as the most fundamental right , without which all other rights are meaningless .",abortion,NONE,train
"Stanley , who is from Britain but has lived in Poland for 15 years , said while there have been several pro-democracy protests in the country in recent months , he can not recall anything on this scale over a single issue .",abortion,NONE,train
"however , at the risk of garbling or oversimplifying , I will say that as I understand it , even a suction abortion that would definitely have dismembered the fetus would , under these circumstances , would not have been a "" direct "" abortion , because the crucial issue is not what happens physically , but the intention of the person performing the procedure .",abortion,NONE,train
"Kagan wonders whether the Texas legislature can demand that every abortion clinic must conform to the standards of Massachusetts General , since that would undoubtedly increase health benefits .",abortion,NONE,train
Jacob : Could you clarify that for me ?,abortion,NONE,train
"Note only 1.5 % of abortions are after 20 weeks , of which 2/3rd are due to issues found with genetic testing .",abortion,FAVOR,train
Bayer Pharmaceuticals sold heroin as an over-the-counter remedy for coughs in the early 1900s .,abortion,NONE,train
The truth : Teenagers who become mothers do not have grim prospects for the future .,abortion,AGAINST,train
"Purchased at the price of immeasurable human suffering , the equal protection principle reflects our Nation ’s understanding that such classifications ultimately have a destructive impact on the individual and our society . ”",abortion,NONE,train
"This does not mean that I am "" for "" abortion !",abortion,NONE,train
"Doctors earn less for abortion than for prenatal care and childbirth , yet RTL used the word “ industry ” for abortion providers in order to make this aspect of medical practice seem dirty .",abortion,FAVOR,train
"Either all human beings have rights , or only some human beings have rights .",abortion,AGAINST,train
Even the doctor in the Our Sunday Visitor article and JoAnna Wahlund claim it would be licit to induce abortion prior to viability to expel a placenta in a case like the Phoenix abortion .,abortion,NONE,train
This wave is in part a result of new Republican majorities eager to move on an issue that is dear to social conservatives ’ hearts .,abortion,NONE,train
"The women who participated in those protests sent the women in Poland a video message of solidarity , encouraging them to stand up for themselves and telling them in Polish , “ Jestesmy z wami ” ( “ we are with you ” ) .",abortion,NONE,train
"The death of the fetus was , at maximum , nondirect and praeter intentionem .",abortion,NONE,train
"No one is proposing — no one will ever seriously propose — banning or discouraging those who passionately believe in their metaphysical intuitions about life from proselytizing and promulgating for them wherever they will , as best they can , within the normal rules of civil argument .",abortion,NONE,train
I believe that if a woman is raped and wants an abortion then she should be able to have one .,abortion,FAVOR,train
"It actively supports the proposed legislation , though church leaders have said they oppose punishing women .",abortion,NONE,train
"This third principle , of course , is the repudiation of skepticism .",abortion,NONE,train
"Yes , after conception you have a real human being waiting to enter the world .",abortion,AGAINST,train
"A certain man went down from Jerusalem to Jericho , and fell among thieves , which stripped him of his raiment , and wounded him , and departed , leaving him half dead .",abortion,NONE,train
Would n't you agree that a mother who drinks enough to cause a baby to be born with fetal alcohol syndrome has harmed that baby ?,abortion,FAVOR,train
"Illegal abortions were big business , as back-alley practitioners were able to extract huge fees from desperate women .",abortion,FAVOR,train
"Whole Woman ’s Health v. Hellerstedt Whether , when applying the “ undue burden ” standard of Planned Parenthood v. Casey , the Fifth Circuit erred in concluding that this standard permits Texas to enforce , in nearly all circumstances , laws that would cause a significant reduction in the availability of abortion services while failing to advance the State ’s interest in promoting health - or any other valid interest .",abortion,NONE,train
But the reason for believing either one of these two possibilities is even more important than which one you believe .,abortion,NONE,train
"Even now , only philosophers , scholars , "" experts , "" media mavens , professors , journalists , and mind-molders dare to claim that we do not know what an apple is .",abortion,NONE,train
So abortion is just as irresponsible as it is in the previous case .,abortion,AGAINST,train
Examples of this are the right of free association and the right to distribute printed material .,abortion,NONE,train
"Wednesday provided a good reminder for American voters heading into the 2016 election : All four justices appointed by Democrats ( Ginsburg , Breyer , Sotomayor and Kagan ) were on fire , making smart and oftentimes biting arguments showing the nonsense behind Texas ' position , while the Republican-appointed justices ( Roberts , Kennedy , Thomas and Alito ) were entirely different .",abortion,NONE,train
A new human being comes into existence during the process of fertilization .,abortion,AGAINST,train
Now that would be cruel .,abortion,NONE,train
It is imperative to pass laws to stop this trend .,abortion,AGAINST,train
"One recent study in Denmark charted the psychological health of 365,550 women , including 84,620 who ’d had abortions .",abortion,NONE,train
Most Americans reject the absolutist position that it is always wrong to terminate a pregnancy and believe that abortion may be the morally right choice under certain circumstances .,abortion,FAVOR,train
None of the 14 state ERAs has caused any change in abortion law .,abortion,NONE,train
Killing a human being does n't serve any higher medical purpose and is therefore a violation of the oath .,abortion,AGAINST,train
"Biologically speaking , this is an absurd and unfounded claim .",abortion,NONE,train
"Forgive me in advance for this speculation , but I think it is quite possible that the issue seems clear to you because you have decided not to read from any of the sources I have linked to .",abortion,NONE,train
"Fortunately , once you move beyond your inner circle of people who matter , much of what flies through the air will be ignorant comments and insults from people who do n’t .",abortion,NONE,train
"Therefore , abortion is murder of a person .",abortion,AGAINST,train
"Because to them , abortion is mass slaughter .",abortion,AGAINST,train
Does monozygotic twinning prove that life does n't begin at conception ?,abortion,NONE,train
"One answer is viability , and the landmark decision in Roe v. Wade adheres to this measurement .",abortion,NONE,train
Abortion is never the best solution .,abortion,NONE,train
"I know that that is a very tough situation , but a baby is a baby even if it is created in an ideal situation .",abortion,AGAINST,train
"I am a cradle Catholic , but , like many at that age , had fallen away from the Church when I found myself college-aged , pregnant , unmarried , and full of dreams for my future that did not include a baby .",abortion,NONE,train
"People are welcome to try to justify abortion with extremist arguments , but they should expect to be gently challenged to hold a consistent view .",abortion,NONE,train
"And every year , Georgetown hosts a Pregnancy Resource Forum to take another look at ways they can improve .",abortion,NONE,train
"By tampering with a life , aren t we acting against the creator of the world ?",abortion,AGAINST,train
We have to show this .,abortion,NONE,train
"Keller is now way over his time , but Ginsburg ca n’t stop herself from asking : “ Earlier in your argument , you were quoting how many women are within a reasonable range of the clinic .",abortion,NONE,train
at 736 ( quoting Congress ’s finding that the “ prevailing ideology about women ’s roles has . . . justified discrimination against women when they are mothers or mothers-to-be ” ( cita­tion omitted ) ( internal quotation marks omitted ) ) .,abortion,NONE,train
"To be clear , this bill is not intended to save the American auto industry and makes no guarantees that layoffs in this industry will end .",abortion,NONE,train
"While very strongly pro-choice , even I have serious moral qualms about the ethicality of very late term abortions in unexceptional cases , because of concerns that they may be performed after there is enough brain function to support a primitive form of sentience .",abortion,NONE,train
"If anti-abortion laws are implemented , they may simply increase the number of poorly done abortions , and likewise increase the number of deaths .",abortion,FAVOR,train
Either they do or they do n't .,abortion,NONE,train
God makes miracles happen . ”,abortion,NONE,train
So which was more convincing ?,abortion,NONE,train
My first reaction was to hit like and share on Facebook .,abortion,NONE,train
"Meanwhile , states could be forced to accept same-sex marriages because of a few judges in Massachusetts .",abortion,NONE,train
She got her blood drawn ( this was before instant pregnancy kits ) and waited for the answer .,abortion,NONE,train
"Despite their deep unpopularity that spans the abortion divide , and even despite a secular argument that could be used to support them , late term abortion bans are currently unfeasible , and likely a very bad idea .",abortion,FAVOR,train
Personally i have birth control in the form of an IUD which has been proven to be as effective if not more effective than the condom .,abortion,NONE,train
"Are human rights "" inalienable "" because they are inherent in human nature , in the human essence , in the human being , in what humans , in fact , are ?",abortion,NONE,train
( It 's only after you are pinned against the wall and have to justify something like abortion that you become a skeptic and deny such a self-evident principle . ),abortion,NONE,train
Most healthy women can go home the same day .,abortion,FAVOR,train
"In short , abortion can turn out to be a lifetime worth of burden .",abortion,AGAINST,train
Does a woman ’s right to control her own reproduction include a right to induced abortion ?,abortion,NONE,train
"Since that ’s the case though , I am glad for the , “ how to be a good human for dummies . ”",abortion,NONE,train
"While neither of these measures remove the scourge of abortion entirely , they continue shine the light on the atrocity and move us closer to doing so . """,abortion,AGAINST,train
"New Mexico does n't have any surgical ASC requirement , and it does n't have any admitting requirement .",abortion,NONE,train
We banned partial-birth abortion and required parental notification before minors could have abortions .,abortion,NONE,train
"I want to be clear , and we all need to be honest .",abortion,NONE,train
But the very fact that we argue about it — a fact the skeptic points to as a reason for skepticism — is a refutation of skepticism .,abortion,NONE,train
"Since 1973 , more than 56 million preborn babies have been destroyed due to the legalization of abortion in the United States .",abortion,AGAINST,train
"Now some might argue that words matter — that we need leaders willing to take a stand , even if they never deliver .",abortion,NONE,train
"In Geduldig , the Court upheld a California law that provided workers comprehensive disability insurance for all tempo­rarily disabling conditions that might prevent them from working , except preg­nancy .",abortion,NONE,train
"Yes , I 'm well aware of the principle of double effect and its moral ramifications .",abortion,NONE,train
That is a wholly different affair and is not self-contradictory .,abortion,NONE,train
It is what we use .,abortion,NONE,train
"It is time to admit the truth about sexual difference — this beautiful , wondrous truth — and shape society to prioritize care for those who care for the most vulnerable .",abortion,NONE,train
"The law bans most abortions after 20 weeks of pregnancy ; requires abortion facilities to upgrade to the level of an ambulatory surgical center ; adds new restrictions to the use of RU-486 , an abortion-inducing drug ; and requires doctors who perform abortions to have admitting privileges at a local hospital .",abortion,NONE,train
"14 An equality-informed understanding of Casey ’s undue burden test prohibits government from coercing , manipulating , misleading , or stereotyping pregnant women .",abortion,NONE,train
"Get to the controversial stuff . """,abortion,NONE,train
"In organ donation cases , I use a part of my body that was not made for the sick person in order to keep him alive .",abortion,NONE,train
It rolls back corporate subsidies in the energy sector .,abortion,NONE,train
"Serrin M. Foster is president of Feminists for Life of America , the creator of the Women Deserve Better campaign and editor in chief of The American Feminist .",abortion,NONE,train
A person born without arms and legs is still human .,abortion,AGAINST,train
There are many couples who spend years on waiting lists trying to adopt a child .,abortion,AGAINST,train
That is genocide . ”,abortion,AGAINST,train
That would be an extremist argument because it necessitates an extremist view .,abortion,NONE,train
"The site contains a "" did you know ?",abortion,NONE,train
"If thousands of comfortable pro-choice people have to choose between the extremism that their arguments demand and the voices of their consciences , then many of them will become pro-life .",abortion,AGAINST,train
TRUMP : I do not want to say that because I want to show unpredictability .,abortion,NONE,train
"Their stats say 8.8 mothers will die in childbirth per 100,000 .",abortion,NONE,train
"A 2012 Lancet study found that regions with restricted abortion access have higher rates than more liberal areas , and restricted regions had a much higher incidence of unsafe abortion .",abortion,FAVOR,train
"Again this "" reason "" is instead a powerful argument against abortion ... the murdering of innocent life for "" contraceptive purposes "" .",abortion,AGAINST,train
"And lest we excuse this hypocrisy as merely a realpolitik compromise required to get something done , the bills Republicans write that include these exemptions are message bills , supported only by fellow Republicans , that no one expects to pass .",abortion,NONE,train
"Although failing to admit it , this paragraph exposes the confusion I pointed out earlier .",abortion,NONE,train
"A fertilized egg or embryo is not some freeze-dried essence of human but a complex set of potentials that need many , many conditions to develop into a human being .",abortion,FAVOR,train
"Bald as a billiard ball , she thought she was pregnant .",abortion,NONE,train
You ’re so wrong .,abortion,NONE,train
"Seuss ’s widow Audrey Geisel , a long-time supporter of Planned Parenthood , was not pleased .",abortion,NONE,train
Pre-eclampsia is a potentially fatal condition that can develop in the second half of pregnancy and can only be cured by delivering the baby .,abortion,FAVOR,train
"If people want to argue that abortion is murder , they should have the guts to deal with it as murder , and that means holding women who procure abortions just as legally responsible as women who arrange and pay for the murder of their "" post-born "" children .",abortion,FAVOR,train
Examples : “ Not sure why we need to put time limits on these things ?,abortion,NONE,train
I have waited my entire life for the Catholic church to affirm the contributions of women within the church .,abortion,NONE,train
Pointing out inconsistency can indeed call into question the truth of a particular position .,abortion,NONE,train
No wonder the medical profession opposes the “ human life amendment . ”,abortion,NONE,train
Dr David Robert Grimes is a physicist and cancer researcher at Oxford University .,abortion,NONE,train
"This does n't make abortion right or wrong , but the abortion industry 's consistent efforts to downplay the physical pain of abortion hints at a broader agenda .",abortion,AGAINST,train
Tim : I actually think you do n’t need the bodily rights argument .,abortion,NONE,train
"But abortion would be illegal , so this would not be applicable . """,abortion,NONE,train
"The bill failed , and now they ’ve got $ 87 billion from TARP , money we ’re not going to get back .",abortion,NONE,train
( This truism was taught by all biology textbooks before Roe and by none after Roe ; yet Roe did not discover or appeal to any new scientific discoveries . ),abortion,NONE,train
The brain structures and nerve-cell connections that characterize the thinking and feeling parts of the brain are not completed until between the 7th and 8th months of gestation .,abortion,FAVOR,train
"She asked the lawyers for the state whether Texas could do that — the hospital is of such high quality that it would obviously be better for women 's health , right ?",abortion,NONE,train
"35 At their Supreme Court confirmation hearings , Chief Justice Roberts and Justice Alito learned from the experience of Judge Robert Bork by swearing allegiance to Griswold .",abortion,NONE,train
"And for the opposite take , please read ListLand.com ’s Top 10 Reasons Abortion Should Be Illegal .",abortion,AGAINST,train
The “ medical treatment ” RTL refers to is a post-coital birth control such as DES that does not always work — and is actually an early abortion if conception has taken place .,abortion,NONE,train
"Truth is , every day you get in a vehicle your putting yourself in a position of possible death so to not have a baby because you might die is ridiculous .",abortion,AGAINST,train
"We must help people have the courage to look into the face of a child conceived during rape and say , “ You did n’t deserve the death penalty . ”",abortion,AGAINST,train
There were expressions of solidarity around the world and men joined the protest alongside women .,abortion,NONE,train
"29 This explains why , when Hibbs was decided in 2003 , the Court could reason about pregnancy in ways that the Geduldig Court contemplated in theory but could not register in fact .",abortion,NONE,train
"Those are ours ; those come from nature and God according to the Declaration of Independence , a huge difference in philosophy .",abortion,NONE,train
"Bottom line : I do not trust male hierarchies to "" take care of "" women .",abortion,FAVOR,train
DEFINITION <br /> An abortion is the ending of pregnancy before birth which results in the death of an embryo or a foetus .,abortion,NONE,train
Abortions near the point of viability are performed only in extreme medical emergencies when the woman ’s life is threatened .,abortion,FAVOR,train
"I agree , we should n't stay stuck here .",abortion,NONE,train
It is the best in the world .,abortion,NONE,train
"2 ) Many abortion bans make exceptions for maternal life , but not maternal health .",abortion,FAVOR,train
You have to have an elevator .,abortion,NONE,train
"Some people may deny that our organs have any “ purpose ” or are “ for ” anything , but I do n’t think they would hold that attitude should their own organs become damaged or infected .",abortion,NONE,train
The only way people can successfully live together in community is to give up a measure of personal freedom .,abortion,AGAINST,train
 Principled  support of abortion often brings significant financial perks as well .,abortion,AGAINST,train
"As of Apr. 2010 , levels of the greenhouse gas CO2 were 389 parts per million – allegedly higher than at any time in the last 650,000 years .",abortion,NONE,train
"Weight gain , edema , back pain , morning sickness , and constipation are among the common complaints .",abortion,NONE,train
But their mothers should be recognized as “ exceptional . ”,abortion,NONE,train
They must not have to deal with challenges but instead be given responsibilities upon choosing to become a mother .,abortion,NONE,train
Any way I ’ll be subscribing to your augment and even I achievement you access consistently quickly .,abortion,NONE,train
"Given that fact , exactly where in the hospital the procedure was done is a trivial factoid .",abortion,NONE,train
"Our current policy toward Fannie and Freddie is not only dysfunctional and rife with bad incentives , but it also has potentially disastrous consequences for taxpayers .",abortion,NONE,train
"But those ideals , embodied in doctrine , should not detract from primary emphasis upon being a field hospital .",abortion,NONE,train
"Moreover , the already born were empowered to deny , at will , the rights of persons still in the womb .",abortion,AGAINST,train
"Also , let 's not forget that there are two parents of every aborted child .",abortion,AGAINST,train
"“ Due to the protest , our entire office is closed today , ” Ms. Plutowska said .",abortion,NONE,train
"But at least "" pro-choice "" politicians who believe the fetus is not a child are being morally consistent .",abortion,FAVOR,train
"In the end , the dollar ’s continued strength rests on the integrity of the American idea .",abortion,NONE,train
"If we 're hunting deer in the forest and hear a rustling behind a bush , do we shoot or do we wait until we know for sure we 're not targeting a human ?",abortion,NONE,train
It would stir a hornets nest as the current ignorance on NI abortion law coupled with stigma serves the politicians that want to keep it outside NI well .,abortion,NONE,train
"It will burden her conscience in life , it will burden her soul in death ; but oh , thrice guilty is he who drove her to the desperation which impelled her to the crime !",abortion,AGAINST,train
"It does not appear in the DSM-V ( the handbook of mental health ) , and the link between abortion and mental health problems is dismissed by organisations tasked with mental health protection including the American Psychological Association , the American Psychiatric Association and the Royal College of Obstetricians and Gynaecologists .",abortion,AGAINST,train
I do believe that the unborn do have a right to a mother that does n't poison them with alcohol or drugs .,abortion,NONE,train
Dependence on another is not a reason to kill the helpless .,abortion,AGAINST,train
"For all these reasons and more , more than a million times a year in the United States , a woman lays her body down or swallows a bitter pill called “ choice ” — driven to abortion because of a lack of resources and support .",abortion,AGAINST,train
"It ’s a view that feels really moderate , reasonable , and compassionate .",abortion,NONE,train
