Tweet,Target 1,Stance 1,Opinion Towards,Sentiment,Tweet Id
@objectsmith @raymond94397278 Surprised he got anything done wearing a silly mask.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"If parent had forced his 12 year old child to wear a mask all day, every day to avoid the flu, they would be reported to Child Protective Services for abuse.@DanielAndrewsMP and his followers are sadistic and incapable of empathy.
#resigndanielandrews #endthelockdown",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@IAGovernor @IGHSAU Yes!  Spend the day outside and get some sun  and no mask and get some fresh air.  Best way to keep up your immune system.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@DVATW Under NO circumstances will I wear a mask to go shopping. I'll stay home and shop online.

If this is Boris's new normal, he can shove it.

",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@CV2175911874 Event 201 tells you all you need to know. It was all planned in advance. #FakePandemic #NoMasks,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"I wore one yesterday because I felt scared by mask zombies 
tutting and sniping  at me  when I  didn't wear one the day before. 
On medical grounds,  I'm exempt 
anyway . I'm NEVER  repeating yesterday's  experience again and will not wear a mask again.  
",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@JasmineWWG1WGA @simondolan I went to @sainsburys yesterday walked straight in nobody stopped me I was the only person in there without a mask and the looks of disdain off people just made me more determined #COVIDー19,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@TONYxTWO Same. It’s a sad feeling when you go out and see that you are the only one without a mask. :pensive: 

No more hellos..

No more smiles..

No more conversations.. 

No interaction with humans.. 

No more connection..

Might as well stuff a dirty sock in your mouth.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Make sure you wear a mask when your touching EVERYTHING else other people touched who wore their masks. Seriously? Are people really THIS stupid? :woman_facepalming_light_skin_tone:,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@OANN Democrats call for a Nationwide ""muzzle"" Mandate, right Nancy? #COVID19",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@IlluminateDark8 All except for the “put on your mask” part:joy::joy:. I don’t do that kind of shit,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"My husband is going to be famous. :grin: He was recorded by one the local sheep of the world for not wearing a mask and killing everyone. MAN, he is one good serial killer, I never even knew. 
#Stupidity #Sheep",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"tired of the Mask-Matyrs already

'I'm suffering for everyone else's benefit. Everyone be impressed'

so pathetic",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Even though I wear a hearing aid my hearing loss is such that I rely on lip reading- if masks become mandatory people like me will be forced into a life of isolation whilst trying to live day to day, it won’t be worth going out.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@BBCRadioLincs A virus with 99.97 % survival rate. Median age of death 81. Lockdown was pointless destruction of economy ( see Sweden). Restart NHS before you kill more people.,face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"Isnt it funny how all wars and terrorism seems to have ground to a halt

Its almost as if the people responsible for war and terrorism have been busy on another project #Coronavirus #Scamdemic #Covid1984 #Masks",face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"@BiscAnenome @SikeNawGaming @BardsFM Weird how many doctors say masks aren't the answer except in situations like surgery to avoid coughing or sneezing into an open incision. 

Masks don't block viruses anyway.

Our health is damaged if we restrict our breathing. Our immune system too. 

Goodbye.

",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@ConHome @drchrisnewton Our government advised the scientific evidence would be followed. It isn't. The only science that's being followed is that of individuals who have vested interests in the pharmaceutical industries! In the words of the W.H.O. ....won't get fooled again! #KBF #Plandemic,face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"In the USA, Walmart, Home Depot and other retailers WALK BACK face mask mandates, will now serve mask-less customers. No doubt they were losing substantial revenue. Hopefully the same will happen in the UK.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"Another reason they want to muzzle us is to prevent us from communicating with each other

#masks",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@hrkbenowen Never worn any type of mask.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"To anyone who needs to hear this. 

Rosa Parks would've refused the mask.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@DdnetFx @AmelieLens Spot on #Scamdemic #Plandemic,face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@realDonaldTrump Get RID of #Fauci AND #Birx!! And stop this #Maskcontrolnonsense!! When universities are having OUTSIDE  graduation requiring everyone wear masks in the 100’ heat— we’re FURIOUS!!,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@Christi75367510 @NeilClark66 We are been forced to take a vaccine because of these people believing they are going to die. #NoMask,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@KAPeanut @Jeswal_63 @guardian How about if you're the person who can’t comfortably wear a mask due to a lung disease, is infected and causing the spread to those of us who are wearing a mask that we wear because it protects you?
So...we both have it now",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@GodFamilyJesus Masks :performing_arts: don’t work, so condition or not, it’s all crazy.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Went in three charity shops,
A Greggs (:pensive:) and my local music shop today.  No mask worn, no fucks given. #COVID19",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@Destiny3650 @DavidakaWyatt Keep this up idiots will be wearing masks forever!,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Grocery shopping with husband at Kroger today for a couple of items for dinner. No masks. Yelled at by woman 10 ft away at register and when asked my manager if I needed a mask “no thank you I don’t need one”.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@MtnMD @laurajo82878461 @FreeThinkMind @DrKellyVictory @kksheld @drdavidsamadi People who make kids wear masks while their immune system develops will be responsible for many many illnesses and deaths later. It’s child abuse.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"People listen. Let’s talk a little truth here. Do an experiment. Put on your mask and walk into a room with a scent, candles, freshener, perfume. Covid virus is smaller than that. If you can smell a scent the virus has no problem getting in.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"If every person in the UK used one single-use mask each day for a year, an extra 66,000 tonnes of contaminated plastic waste would be created.@GretaThunberg",face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
@mitchellvii and when in the world’s history have we quarantined the public to control infectious disease?  Can you say NEVER? #TheGreatAwakening #COVID #coronavirus #Scamdemic,face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
"Germs, Bacteria, viruses
Are food for your immune system

Wear a mask at your peril",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"If you think masks work to protect you from covid (doesn't, says so on the box) then why do you care if I wear one?

If you need to social distance and wear a mask at the airport, then why do u sit right next to someone on the plane and can take the mask off to drink? ",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@Thomas1774Paine Migraines, have heard several people say the mask brings on migraines.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"@2DBeachGirl @ksbw Yes it is, that was over the 4th of July weekend when they shut the beach down &amp; the ""so-called manditory"" masks signs went up hence WHY I took the picture!
It's sad &amp; a joke even after ALL the #truedata they still can't pull their heads out of their asses!",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@BBCNewsNI Number one priority is your own health not others. If you have a health condition and you think wearing a mask will protect you then it's YOUR responsibility to protect yourself not others! Healthy people should not be wearing any sort of mask!,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
@declanoscanlon @GovMurphy Schools need to open because it's the absolute right thing to do!! Enough is enough!! And since masks don't work... they should just so go back to school like normal!,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@SheepDuster #informedconsent is not anti-vax. Keep tags as  #informedconsent because everyone should have the right to full medical info and right to refuse or use any medical product or procedure such as masks and vaccines.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"W H O are working with HIL L &amp; KNOWLTO N, same PR lads that helped PSYOP the 1ST GULF WAR using lies now to sell us their #COVID #PLANDEMIC Agenda via celebs &amp; med experts as media influencers. That STINKS @RobertKennedyJr @ChildrensHD  #COVIDIDIOTS #COVID__19 #EXPOSED",face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"Woolworths were trying to make me wear a mask. What happened to our free country. Give me freedom or give me death

#QAnons",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@CreeganPhilip @ClarkeMicah @SuzannaCMason Where? Tell me I would be genuinely interested. 
You appear to lack an understanding of basic physics &amp; hygiene, then stoop to puerile  insults, why? To beat me into submission? I'll let you in on a secret, it won't work, just like masks #KBF",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@mycael101 @catturd2 @jaketapper Exactly. And I've not worn a mask at all, been in huge crowds without masks, been at a house party close quarters with someone who 2 days later tested positive and I still haven't caught it.  So the mask debate rages on...",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@DNC congressman on @MSNBC @WhipClyburn MASKS Do NOTHING. Can ANY of YOU Do Math?? The Virus Particles are .1 Microns the MASKS contain NOTHING larger THAN .3 MICRONS:see_no_evil::see_no_evil::see_no_evil:. Please Have Someone EXPLAIN To YOU ALL. Or keep listening to the #FauciTheFraud,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@annembee @jonorfolk @GFL9112 Yes... it IS that simple!

#NoMasks 
",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28E+18
"We are D-day plus 2 on the  @GovTimWalz mask mandate.

I have continued my normal activities and habits out in public - WITHOUT a mask.

The families of the untold thousands of people I have endangered can talk to the hand :hand_with_fingers_splayed_selector:

If your mask works, I don't need one :kissing_heart:",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
How are people just cool with politicians mandating unconstitutional mask mandates which is completely not backed up by science?,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@tarsins @BreesAnna No I wouldn't. If this was the pandemic they predicted over 10million people world wide would have died. I'm sorry for the families who have list their loved ones, however wearing a mask in a normal flu season wouldn't stop it...would it? Peace :heart:
#KeepBritainFree",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"Fuck this covid psyop and fuck your masks. 

",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
If masks work why are people testing positive?? :thinking_face:,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realredtarget I have heart/lung issues that do not allow me to wear a mask, but even without those issues I still would NOT wear one!!!!  When I walk thru a store, I walk by Faith &amp; not by sight:pray::raised_hands:",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@LBC @darrenadam No. Fascist government must get rid of masks FIRST.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@yesnicksearcy MASKS DON'T WORK!,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Well folks, that weirdo #NealCavuto can skip his Viagra tonight. He finally got to see @POTUS wear a mask. The way the media reacts to this proves it’s so much more symbolic than health related. There are some crazy ass lunatics out there. ",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@AngryAged @GarySte69982158 Masks do more harm than good. Even if you change your mask between shops your still wearing one oh and touching your face by doing so. Hope your wife feels better soon.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realTuckFrumper You can ascertain the character of the man by who he surrounds himself with. Therefore, I will NOT be Trusting ANY of the PLAN Demics! #OperationRadiation #no60ghz #BillGatesIsEvil #FauciFraud #BirxBitch ",face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.28E+18
@GregAbbott_TX Your mother would be disappointed in you flushing the constitution down the toilet with your mask mandates and lockdowns. #voteabbottout2022,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@ThatTimWalker Mandatory masks would kill the high st,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"I have noticed that especially millennials see these face mask thing as a trendy one. Different colour, style. How pathetic is that?",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"#BillClintonIsAPedo Just curious, do Americans plan to be compliant sheep to their masters or are they going to wear masks FOREVER? Why were John Lewis funeral attendees NOT 6 feet apart, but Christian &amp; Jewish funerals are forced to or dispersed? #MasksDontWork",face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"@jordylancaster @realDonaldTrump Stop the #madness Masks make things worse, you know that!",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@realDonaldTrump That's wonderful... NO ONE IS WEARING A MASK..,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@USlawreview Even many antimaskers are caving. I'm NEVER participating in the mask bullshit.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Today went to the grocery store. I saw more people pulling mask out of there pockets and purses. I thinking the mask wasn’t very clean. Mask thing is gross. #NoMaskMandates #NoMasks,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@ICMdoc @lyndsay_hopkins @ShippersUnbound Yeah.... Actually no, the guidance has been a joke &amp; the why has been for corporate money making.
Am over 50, v healthy, don't wear a mask (ever) or social distance (oxymoron). Won't have a vaccine, nor will I shield for a disease that's virtually gone in the UK. #KBF",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@Bonedaddy76 @BoscoEd88 #masksdontwork @Walgreens FL escorted my husband out of the store today bc he wasn’t wearing a mask. About time to start throat-punching these idiots.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"I just casually walked into Dunkin Donuts, went to the counter, placed and paid for my order and exited.
All without a mask. 
No one said a thing, even though they all had masks.
We have to start living like normal human beings.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@Ilhan no need to wear masks! stop the fear mongering FRAUD!,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@PlanetFitness I can’t describe how disappointed I am in your company. To require masks even for those with health issues is insane. To not allow us to cancel our membership without penalty is practically criminal. #ShameOnYou,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Your toilet cleaner being washed into my water is a chemical!  That's selfish to pour that in there.  Do you see the hypocrisy?  Seems we can find many things to call people selfish for.  #NoMasks,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@simondolan Went in Lidl in Letchworth. I was the only one in there without a mask.
At the till, I looked behind me and a woman shopper was waiting. The next time I looked she had removed the mask from across her face to hang of her ear. As I left she had completely removed it.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.29E+18
"George Floyd: ""I CANT BREATHE!""

This will be all mask wearers after they continually breathe their own CO2 emissions for as long the masters tell you to wear the mask.

Wake up please

",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@WVGovernor @WVNationalGuard It has been proven by even #FraudFauci that masks don’t help &amp; can hurt the wearer!
We West Virginians don’t want to wear masks &amp; didn’t expect you to kneel to the Bully Leftist Fearmongerers!
Stop acting like a RINO or we will vote you out!
",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@Syd2231 Yeah, cause it be okay to whip out my AK-47, shoot at the clerk, because I don't wanna wear a f*cking mask. 

Cops took him into custody without murdering him.

Hmmm. Weird that black and brown people get killed over this.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@realjuliasong The mask wearing Karens are out in force! Are they being paid to be useful idiots, are they actors? This is harassment of the highest order. I wouldn’t have given them the time of day. Dear Karen, leave us alone, keep your distance. ",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@CNN Masks are here to convert population intomuzzled sheep. Masks are not preventing people from getting #chinesevirus,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@davidicke :woman_facepalming_selector:How funny that when in the beginning some people were wearing mask they were called selfish by taking them from nhs staff, but now when all shops stock pile suddenly they are mandatory  :thinking_face: and does like me that refuse to put on this muzzle are called selfish",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@BrianKempGA is one of the few #Governors that actually protect our #Constitutional #Rights :clapping_hands_medium-light_skin_tone:

Thank you for not mandating masks like the rest of these communist Governor’s across the USA",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@BorisJohnson Never thought I’d say it Boris but for a so called ‘liberal’ conservative you are an absolute control freak! Stop babying us. Stop #nannystate and FFS stop the insane forced masks.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@BelTel Good lad sammie fuck the masks,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"My favorite false equivalency is the one the corona sheep draw between seatbelts and facemasks.

#masksdontwork #MaskShaming",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@ottawacity The TRUTH @ottawahealth is hiding from you:  

Once the temperature reaches above 74F degrees 23.3C the virus CANNOT survive!.

Why the masks?  (mind control)
Why the increase in numbers? (more mind control)
Why distancing? (mind control)

Awake now? #OttawaMaskContest",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Biden guilting the American people by implying if you don’t wear a mask, you don’t care about people and you’re automatically going to infect everyone is absolutely disgusting. 

I didn’t think this guy could go any lower. 

#NeverBidenHarris",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@CTVLondon “In China, at least two junior high school students collapsed and died last month while wearing face masks during physical exercise examinations. The deaths have prompted experts to warn of the dangers of wearing high-grade masks during intense exercise” ",face masks,AGAINST,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg,1.28E+18
@simondolan @naughtymandy121 @bmstores At least my local @bmstores didn’t ask me to put a mask on when I’ve been in,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
"@nicely_nick @LockdownNo I'm not wearing a muzzle. I don't care how much Boris stamps his boots.

Visiting the shop a again for the first time in ages would've been a great relief after all this.

But forcing muzzles. That's just stopped me, my family and friends from going now.:angry:
#NoMasks 
",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@lorraine @JohnBarrowman @ThePaulaWilcox @itvcorrie Well you really sold your soul to the devil #Barrowman. Not only are you a Scot who fakes an American accent, you're now telling people who don't wear masks that WE'RE selfish and are stopping you getting back to normal :joy: News flash THERE IS NO NORMAL. Muppet :clown_face::clown_face::clown_face::clown_face:",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@RealJamesWoods @ck515 So I’m getting my response for mask shaming ready. Think I’ll put on my chicken wire mask. Just as effective due to virus partial size. Need creative input patriots.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@realDonaldTrump Who the hell are these fascist local Dems to order, threaten and arrest me for not obey. This is not the American way. Our constitution protects me from fascist Dictators like Gov Wolf. He should have tries asking. #ObamaGate #WalkAway  #BLMTerrorists #EndShutDown",face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
"Mark my words- FL, AZ, TX are through the worst.  But it's not bc of masks.  It's bc it's been about 4-5 wks.  That's the cycle.  Just like it was in NY.",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@CDCemergency When will you and the @WHO stop pandering to the political conspiracy about masks.  Your misguided information to the general public should be seen as nothing less than criminal!  This has never been about the virus - it's always been about control.  #NoMaskMandates,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Just got back from a trip to Lidl and Asda. Number of mask wearers similar to the number of non-mask wearers last week - approx 95%. A little girl was pirouetting and nearly hit my trolley, she smiled at me and said sorry, I smiled back. Fuck your masks.
#NoMaskSelfie",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Sir, we can't let you in without a mask.""

""Glad to wear it. Just a heads-up.
I get nausea within 2 minutes of using my mask
so I might wind up throwing up all over your floor.

I'm sorry, I've tried keeping it in my mask
but I don't want to choke on my vomit."" 

",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@MahyarTousi I went shopping in a busy centre in Sussex.  No mask. I was kindly asked at one store entrance and I said I can't breathe with it on.  She smiled and let me in.  No one else bothered me. This needs to be the norm.  A few people without masks but there needs to be more .,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,1.29E+18
@abc3340 So damn hot &amp; humid...Who wants to don a sweaty comfort mask on vacation?! Too many Covid restrictions and mask policies. No thanks! #NoMasks,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
@dougducey No! Stop your stupid propaganda. Get out of here you communist! Masks are worthless and it’s stupid to wear them. #DumpDucey,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"@Syoungjba @GFL9112 Agreed. I'm not going to accept a forced muzzle. 
#NoMasks 
",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",other,1.28E+18
"@paulaWWG1WGA @DeepStateExpose These sheeple are the reason other sheeple are wearing masks.
There, fixed it for you.
:slightly_smiling_face:
#Trump2020",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"So if we’re all wearing masks and cases continue to rise what does that tell us
#MasksSaveLives",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"I go out and everyone looks like a duplicate.

",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
"@DailyMailUK No shit Sherlock, so normal people don't want 2B dictated 2 by little #hitler shop assistants who are gleeful with their new power or put up with good little public minions that glare &amp; confront people not stupid enough 2 wear masks, you do surprise me numbers are down!",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
Take the time to observe people. It’s truly free entertainment. Ate dinner tonight and watched these two people sitting together eating. Ome was lifting their mask each time they drank. No words. True insanity.,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
"Ok, I’ve just gotta say it...MASKS SHOULD NOT BE FASHION STATEMENTS! If you want to wear one, that’s fine w/me but the thought that people are making &amp; buying pattered masks is actually terrifying. Wake up and think! Wake up and fight!!! #saynotomasks #MasksOffAmerica ",face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.28E+18
@onlyright9 #FakePandemic is being used to take away our rights,face masks,AGAINST,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,1.29E+18
I am in the airport wearing a clear face shield. It is the closest I will come to wearing a mask and only because I need to fly. My :red_heart_selector: breaks looking at these sheeple in their masks. It is so sad to not see smiles &amp; expressions!:cry:,face masks,AGAINST,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,1.29E+18
